date,open,high,low,close,volume
08-06-18,187.53,189.4754,186.43,189.1,12677092
11-06-18,188.81,192.6,188.8,191.54,12928907
12-06-18,192.17,193.28,191.56,192.4,11562704
13-06-18,192.74,194.5,191.91,192.41,15853821
14-06-18,193.1,197.28,192.91,196.81,19120866
15-06-18,195.79,197.07,194.64,195.85,21860931
18-06-18,194.8,199.58,194.13,198.31,16826023
19-06-18,196.2352,197.96,193.79,197.49,19993996
20-06-18,199.1,203.55,198.805,202,28230933
21-06-18,202.76,203.39,200.09,201.5,19045717
22-06-18,201.16,202.24,199.31,201.74,17420188
25-06-18,200,200,193.11,196.35,25275137
26-06-18,197.6,199.1,196.23,199,17897576
27-06-18,199.18,200.75,195.8,195.84,18734408
28-06-18,195.18,197.34,193.26,196.23,18172439
29-06-18,197.32,197.5997,193.955,194.32,15811602
02-07-18,193.37,197.45,192.22,197.36,13734954
03-07-18,194.55,195.4,192.52,192.73,13489514
05-07-18,194.74,198.65,194.03,198.45,19684193
06-07-18,198.45,203.64,197.7,203.23,19740131
09-07-18,204.93,205.8,202.1201,204.74,18149437
10-07-18,204.5,204.91,202.26,203.54,13190067
11-07-18,202.22,204.5,201.75,202.54,12927377
12-07-18,203.43,207.08,203.19,206.92,15454706
13-07-18,207.81,208.43,206.45,207.32,11503401
16-07-18,207.5,208.72,206.84,207.23,11078209
17-07-18,204.9,210.46,204.84,209.99,15349892
18-07-18,209.82,210.99,208.44,209.36,15334907
19-07-18,208.77,209.99,207.76,208.09,11350429
20-07-18,208.85,211.5,208.5,209.94,16241508
23-07-18,210.58,211.62,208.8,210.91,16731969
24-07-18,215.11,216.2,212.6,214.67,28468681
25-07-18,215.715,218.62,214.27,217.5,64592585
26-07-18,174.89,180.13,173.75,176.26,169803668
27-07-18,179.87,179.93,173,174.89,60073749
30-07-18,175.3,175.3,166.56,171.06,65280787
31-07-18,170.67,174.24,170,172.58,40356471
01-08-18,173.93,175.08,170.9,171.65,34042109
02-08-18,170.68,176.79,170.27,176.37,32399954
03-08-18,177.69,178.85,176.15,177.78,24763434
06-08-18,178.97,185.79,178.38,185.69,49716192
07-08-18,186.5,188.3,183.72,183.81,33398562
08-08-18,184.75,186.85,183.76,185.18,22205230
09-08-18,185.8492,186.57,182.48,183.09,19732120
10-08-18,182.04,182.1,179.42,180.26,21500410
